Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Afghanistan,2480,43.7,,1980
Albania,2600,71.3,0,1980
Algeria,2570,58.7,0,1980
Andorra,,78.3,,1980
Angola,1970,48.1,0,1980
Antigua and Barbuda,1970,72.1,,1980
Argentina,3220,70.2,0,1980
Armenia,0,70.2,0,1980
Australia,3060,74.5,0,1980
Austria,3360,72.8,0,1980
Azerbaijan,0,66.2,0,1980
Bahamas,2630,68.6,,1980
Bahrain,,68.4,,1980
Bangladesh,2020,53.2,0,1980
Barbados,3050,73,,1980
Belarus,0,71,0,1980
Belgium,0,73.3,0,1980
Belize,2650,70.9,0,1980
Benin,1880,52.7,0,1980
Bermuda,2910,,,1980
Bhutan,,52.8,0,1980
Bolivia,2100,56.8,0,1980
Bosnia and Herzegovina,0,69.7,0,1980
Botswana,1970,61,0,1980
Brazil,2700,62.7,0,1980
Brunei,2560,67.5,,1980
Bulgaria,3590,71.2,0,1980
Burkina Faso,1560,48.6,0,1980
Burundi,,48.5,0,1980
Cambodia,1680,52.2,0,1980
Cameroon,2250,55.4,0,1980
Canada,2950,75.2,0,1980
Cape Verde,2100,66.8,0,1980
Central African Republic,2310,49.2,0,1980
Chad,1640,50.8,0,1980
Chile,2680,69.4,0,1980
China,2150,64.4,0,1980
Colombia,2520,68.9,4.16,1980
Comoros,,54.5,0,1980
"Congo, Dem. Rep.",,52.1,0,1980
"Congo, Rep.",2070,52.8,0,1980
Costa Rica,2570,74.7,0,1980
Cote d'Ivoire,2920,56.7,0,1980
Croatia,0,70.7,0,1980
Cuba,2890,73.6,,1980
Cyprus,2460,71.3,,1980
Czech Republic,0,70.5,0,1980
Czechoslovakia,3340,,,1980
Denmark,3130,74.4,0,1980
Djibouti,1440,60.8,0,1980
Dominica,2230,71.8,,1980
Dominican Republic,2260,69.3,0,1980
Ecuador,2380,67,0,1980
Egypt,2860,58.5,0,1980
El Salvador,2250,63.8,0,1980
Equatorial Guinea,,50.5,,1980
Eritrea,,42.7,,1980
Estonia,0,69.7,0,1980
Eswatini,2370,57.3,0,1980
Ethiopia,0,44.6,0,1980
Fiji,2510,66.5,0,1980
Finland,3090,74,0,1980
France,3380,74.7,0,1980
French Polynesia,2720,,,1980
Gabon,2270,58.1,0,1980
Gambia,1960,58.2,0,1980
Georgia,0,68.5,0,1980
Germany,3280,73.3,0,1980
Ghana,1590,57.5,0,1980
Greece,3200,75.3,0,1980
Grenada,2260,69.3,,1980
Guatemala,2160,58,0,1980
Guinea,2350,47.3,0,1980
